participantID,trialN,chartType,actualPercent,enteredPercent,error
Drit,45,Bar,55,50,2.357552004618084
Drit,46,Pie,42,50,3.0223678130284544
Drit,47,Pie,83,99,4.011227255423254
Drit,48,Bar,31,33,1.0874628412503393
Drit,49,Pie,70,80,3.3398500028846247
Drit,50,Pie,89,80,3.189824558880017
Drit,51,Bar,71,70,0.16992500144231237
Drit,52,Pie,85,70,3.9188632372745946
Drit,53,Pie,75,80,2.357552004618084
Drit,54,Line,72,80,3.0223678130284544
Drit,55,Line,87,90,1.6438561897747248
Drit,56,Line,36,33,1.6438561897747248
Drit,57,Line,72,78,2.6147098441152083
Drit,58,Line,26,22,2.0443941193584534
Drit,59,Line,27,30,1.6438561897747248
Drit,60,Line,82,89,2.8328900141647417
Drit,61,Line,18,22,2.0443941193584534
Eri,1,Pie,34,25,3.189824558880017
Eri,2,Pie,25,22,1.6438561897747248
Eri,3,Pie,92,99,2.8328900141647417
Eri,4,Line,33,33,-3
Eri,5,Line,48,44,2.0443941193584534
Eri,6,Line,31,33,1.0874628412503393
Eri,7,Bar,40,33,2.8328900141647417
Eri,8,Line,95,89,2.6147098441152083
Eri,9,Bar,60,60,-3
Eri,10,Pie,89,99,3.3398500028846247
Eri,11,Pie,59,88,4.864186144654281
Eri,12,Bar,35,22,3.7142455176661224
Eri,13,Pie,41,50,3.189824558880017
Eri,14,Bar,31,25,2.6147098441152083
Eri,15,Bar,58,50,3.0223678130284544
Eri,16,Line,89,88,0.16992500144231237
Eri,17,Pie,97,50,5.5584207132686645
Eri,18,Bar,96,99,1.6438561897747248
Eri,19,Line,62,50,3.599912842187128
Eri,20,Pie,76,55,4.400879436282184
Eri,21,Pie,32,50,4.1799090900149345
Eri,22,Bar,68,80,3.599912842187128
Eri,23,Line,82,80,1.0874628412503393
Eri,24,Line,85,80,2.357552004618084
Eri,25,Pie,75,99,4.592457037268081
Eri,26,Bar,65,50,3.9188632372745946
Eri,27,Pie,37,33,2.0443941193584534
Eri,28,Pie,66,33,5.049848549450561
Eri,29,Bar,47,44,1.6438561897747248
Eri,30,Bar,88,88,-3
Eri,31,Bar,96,99,1.6438561897747248
Eri,32,Line,97,99,1.0874628412503393
Eri,33,Line,80,88,3.0223678130284544
Eri,34,Pie,88,80,3.0223678130284544
Eri,35,Pie,59,70,3.4757334309663976
Eri,36,Bar,57,50,2.8328900141647417
Eri,37,Line,68,80,3.599912842187128
Eri,38,Line,39,50,3.4757334309663976
Eri,39,Pie,33,50,4.098032082960526
Eri,40,Line,48,50,1.0874628412503393
Eri,41,Line,82,80,1.0874628412503393
Eri,42,Pie,38,50,3.599912842187128
Eri,43,Pie,53,50,1.6438561897747248
Eri,44,Bar,21,22,0.16992500144231237
Eri,45,Line,55,50,2.357552004618084
Eri,46,Pie,78,77,0.16992500144231237
Eri,47,Pie,54,60,2.6147098441152083
Eri,48,Bar,32,22,3.3398500028846247
Eri,49,Bar,35,33,1.0874628412503393
Eri,50,Pie,98,99,0.16992500144231237
Eri,51,Bar,96,98,1.0874628412503393
Eri,52,Line,38,40,1.0874628412503393
Eri,53,Bar,30,33,1.6438561897747248
Eri,54,Bar,31,33,1.0874628412503393
Eri,55,Line,50,50,-3
Eri,56,Line,93,97,2.0443941193584534
Eri,57,Bar,42,40,1.0874628412503393
Eri,58,Bar,54,50,2.0443941193584534
Eri,59,Line,85,86,0.16992500144231237
Eri,60,Line,89,99,3.3398500028846247
Alex12,1,Line,46,50,2.0443941193584534
Alex12,2,Pie,48,33,3.9188632372745946
Alex12,3,Line,86,80,2.6147098441152083
Alex12,4,Bar,92,90,1.0874628412503393
Alex12,5,Pie,60,33,4.7615512324444795
Alex12,6,Bar,64,60,2.0443941193584534
Alex12,7,Bar,35,33,1.0874628412503393
Alex12,8,Bar,51,50,0.16992500144231237
Alex12,9,Pie,78,98,4.330916878114617
